#    Spm       SpmERR       Smp       SmpERR         NSFflipRatio
   19512.3    2979.04     9769.79    1990.54         4.72836
   8388.04    1791.46     6891.97       1622         4.73568
   7402.18    1671.14     7899.09    1748.37         4.73564
   3173.75    1062.44      7941.3    1748.27         4.73579
   8683.41    1830.85     9879.06     1986.8         4.73575
   10641.6    2056.67     9194.92    1909.51         4.73571
    5135.3    1366.55     6924.88    1621.62         4.73571
   7086.46    1629.67     6905.14    1621.77         4.73579
   8703.34    1830.62     7885.48    1748.45         4.73571
   19783.4    2997.25     5779.84    1496.26         4.73564
   36978.7    4571.14     9924.47    2045.27         4.73577
   87587.1    8838.83     23035.8    3474.89         4.73558
    113561    10969.5       27754    3969.09          4.7357
   45935.9    5357.18     25118.5    3571.93         4.73558
   19959.9    3028.18     20728.9    3123.85         4.73566
   16684.2    2710.46     23086.3    3344.26         4.73575
   17147.5    2787.52     42019.1    5041.08         4.73573
   31189.5    4133.12     69448.8    7369.98         4.73566
   28709.9    3959.76     90076.1     9073.6         4.73553
   13230.9    2396.48     43389.5    5157.28         4.73571
   8940.42    1872.01       16853     2732.4         4.73566
   10635.7    2056.85     9859.31    1987.06         4.73564
   10326.7    2019.95     8200.93    1789.64         4.73573
   7073.96    1630.01     8234.07    1789.17         4.73568
   7717.72    1711.98     8892.01    1869.59         4.73573
    6104.8    1502.07     7579.21    1706.56          4.7357
   10980.3     2093.1     7862.33    1748.96         4.73571
   6413.39    1545.74     9237.43    1909.01         4.73573
   6732.29    1588.54     9898.51    1986.67         4.73571
   7392.78    1671.41     8895.42    1869.59         4.73564
   7077.44       1630     7901.81    1748.21         4.73564
